name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank
RG Sharma,INDIA,32.48,139.55,0.189,3.829,0.128,10.35,0.291,45.326,Best
MJ Guptill,NZ,32.66,136.71,0.187,4.185,0.065,10.75,0.222,44.649,Best
V Kohli,INDIA,51.5,137.67,0.163,4.382,0.281,17.438,0.337,70.9,Best
PR Stirling,IRE,29.84,134.69,0.201,4.109,0.079,9.149,0.218,40.191,Best
AJ Finch,AUS,34.69,144.87,0.204,4.337,0.112,10.91,0.225,50.255,Best
Babar Azam,PAK,45.52,129.44,0.154,4.638,0.145,19.159,0.406,58.921,Best
DA Warner,AUS,32.74,140.48,0.192,3.966,0.114,10.909,0.261,45.993,Best
EJG Morgan,ENG,28.58,136.17,0.17,2.86,0.196,9.29,0.131,38.917,Best
Shoaib Malik,PAK,31.21,125.64,0.137,2.387,0.297,11.144,0.081,39.212,Best
JC Buttler,ENG,34.51,141.16,0.181,3.425,0.225,10.8,0.212,48.714,Best
BB McCullum,NZ,35.66,136.21,0.185,4.143,0.143,11.4,0.243,48.572,Best
KS Williamson,NZ,32.59,123.98,0.152,3.444,0.139,13.014,0.194,40.405,Best
Mohammad Shahzad,AFG,30.07,133.62,0.199,4.286,0.043,9.5,0.2,40.18,Best
Mahmudullah,BAN,23.83,118.25,0.128,2.019,0.215,9.495,0.056,28.179,Good
KJ O'Brien,IRE,21.21,130.92,0.164,2.398,0.097,7.971,0.068,27.768,Good
JP Duminy,SA,38.68,126.24,0.136,2.787,0.333,12.747,0.147,48.83,Best
LRPL Taylor,NZ,26.15,122.37,0.123,2.043,0.223,10.628,0.074,32.0,Best
Shakib Al Hasan,BAN,22.44,119.77,0.145,2.432,0.105,9.558,0.095,26.876,Good
CH Gayle,WI,27.92,137.5,0.204,3.76,0.093,6.973,0.24,38.39,Best
TM Dilshan,SL,28.19,120.54,0.163,3.241,0.152,10.114,0.19,33.98,Best
KL Rahul,INDIA,40.68,142.49,0.184,4.558,0.135,14.173,0.385,57.965,Best
Q de Kock,SA,33.83,135.03,0.188,4.164,0.115,11.164,0.18,45.681,Best
DA Miller,SA,31.89,140.62,0.156,2.386,0.325,10.072,0.072,44.844,Best
S Dhawan,INDIA,27.92,126.36,0.173,3.652,0.045,10.53,0.167,35.28,Best
Tamim Iqbal,BAN,24.08,116.96,0.155,2.987,0.064,9.436,0.115,28.164,Good
C Munro,NZ,31.34,156.44,0.217,3.855,0.113,8.935,0.274,49.028,Best
RD Berrington,SCOT,31.96,128.13,0.153,3.015,0.209,11.612,0.134,40.95,Best
Umar Akmal,PAK,26.0,122.73,0.129,2.241,0.177,11.038,0.101,31.91,Best
AB de Villiers,SA,26.12,135.16,0.162,2.667,0.147,10.027,0.133,35.304,Best
H Masakadza,ZIM,25.96,117.2,0.152,3.273,0.03,10.121,0.167,30.425,Best
Mohammad Rizwan,PAK,50.36,128.83,0.154,4.422,0.267,17.111,0.333,64.879,Best
AD Hales,ENG,31.01,136.65,0.191,3.833,0.117,10.233,0.167,42.375,Best
MS Dhoni,INDIA,37.6,126.13,0.131,1.976,0.494,9.894,0.024,47.425,Best
MN Samuels,WI,29.29,116.23,0.154,3.277,0.154,9.554,0.154,34.044,Best
SK Raina,INDIA,29.18,134.87,0.171,3.076,0.167,10.258,0.106,39.355,Best
KA Pollard,WI,25.3,135.14,0.166,2.325,0.253,7.217,0.072,34.19,Best
Mohammad Nabi,AFG,22.97,142.23,0.174,2.321,0.173,7.617,0.049,32.67,Best
MDKJ Perera,SL,26.53,131.31,0.166,3.305,0.017,11.136,0.203,34.837,Best
F du Plessis,SA,35.53,134.38,0.167,3.8,0.14,13.36,0.24,47.745,Best
LMP Simmons,WI,26.78,120.8,0.165,3.104,0.149,8.343,0.134,32.35,Best
KJ Coetzer,SCOT,22.65,119.21,0.164,3.029,0.029,8.456,0.088,27.001,Good
Mushfiqur Rahim,BAN,19.93,115.44,0.126,1.791,0.176,8.451,0.066,23.007,Good
DPMD Jayawardene,SL,31.76,133.18,0.184,3.745,0.145,10.964,0.2,42.298,Best
Ahmed Shehzad,PAK,25.8,114.74,0.148,3.22,0.034,10.932,0.153,29.603,Good
SR Watson,AUS,29.24,145.32,0.197,3.536,0.107,9.0,0.214,42.492,Best
JJ Roy,ENG,25.36,143.45,0.214,3.724,0.017,7.724,0.138,36.379,Best
A Balbirnie,IRE,24.22,126.68,0.166,2.968,0.063,9.921,0.079,30.682,Best
E Lewis,WI,30.93,155.51,0.236,4.408,0.061,6.918,0.286,48.099,Best
Shahid Afridi,PAK,17.92,150.0,0.186,1.934,0.132,6.22,0.044,26.88,Good
Asghar Afghan,AFG,21.93,110.82,0.125,2.294,0.074,9.118,0.059,24.303,Good
KC Sangakkara,SL,31.4,119.55,0.138,3.0,0.17,13.321,0.151,37.539,Best
HM Amla,SA,33.6,132.05,0.178,3.909,0.136,12.205,0.182,44.369,Best
HG Munsey,SCOT,27.6,146.31,0.238,4.224,0.061,6.694,0.184,40.382,Best
