name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank
Shakib Al Hasan,BAN,19.88,17.8,6.67,22.377,1.253,0.063,1.056,24.905,22.1,Best
TG Southee,NZ,24.58,17.9,8.19,22.167,1.233,0.022,1.159,30.322,33.552,Good
Rashid Khan,AFG,13,12.7,6.12,22.741,1.787,0.098,1.509,23.246,13.26,Best
SL Malinga,SL,20.79,16.8,7.42,21.651,1.289,0.036,1.162,26.807,25.71,Best
Shahid Afridi,PAK,24.44,22.1,6.63,22.342,1.01,0.031,0.915,24.701,27.006,Best
Mustafizur Rahman,BAN,19.65,15.5,7.57,21.467,1.381,0.063,1.186,27.143,24.792,Best
Saeed Ajmal,PAK,17.83,16.8,6.36,22.686,1.349,0.063,1.169,24.063,18.9,Best
IS Sodhi,NZ,21.97,16.3,8.05,21.216,1.297,0.031,1.21,28.5,29.476,Best
AU Rashid,ENG,22.71,18.7,7.26,21.703,1.157,0.029,1.074,26.286,27.479,Best
CJ Jordan,ENG,28.12,19.4,8.65,21.041,1.081,0.027,1,30.405,40.54,Average
DJ Bravo,WI,26.1,19.2,8.11,19.519,1.013,0.039,0.892,26.442,35.278,Good
GH Dockrell,IRE,21.6,18.1,7.12,18.921,1.041,0.014,1,22.493,25.632,Best
Mohammad Nabi,AFG,27.92,23.1,7.25,19.712,0.854,0.034,0.744,23.843,33.737,Good
S Lamichhane,NEPAL,12.76,12,6.34,22.538,1.872,0.051,1.757,23.897,13.483,Best
A Zampa,AUS,21.22,18.7,6.79,21.787,1.164,0.016,1.1,24.705,24.014,Best
JJ Bumrah,INDIA,19.89,18.3,6.5,21.911,1.196,0,1.196,23.804,21.548,Best
KMDN Kulasekara,SL,23.18,18.6,7.45,21.217,1.138,0.034,1.036,26.379,28.782,Best
BAW Mendis,SL,14.42,13.4,6.45,22.662,1.692,0.128,1.235,24.41,15.502,Best
MJ Santner,NZ,22.95,18.9,7.27,20.479,1.082,0.033,0.983,24.836,27.808,Best
SCJ Broad,ENG,22.93,18,7.62,21.305,1.182,0.018,1.13,27.109,29.121,Best
B Kumar,INDIA,24.01,20.7,6.96,21.339,1.032,0.048,0.864,24.79,27.852,Best
DW Steyn,SA,18.35,15.8,6.94,21.587,1.362,0.043,1.244,25,21.225,Best
Bilal Khan,OMA,16.5,15.4,6.41,21.613,1.4,0.067,1.214,23.111,17.628,Best
Imran Tahir,SA,15.04,13.4,6.73,22.184,1.658,0.105,1.324,24.947,16.87,Best
MA Starc,AUS,23.14,18.3,7.55,22.706,1.235,0,1.235,28.588,29.118,Best
TA Boult,NZ,21.69,16,8.12,22.541,1.409,0.023,1.349,30.568,29.354,Best
PWH de Silva,SL,14.14,12.8,6.61,22.067,1.722,0.056,1.588,24.361,15.578,Best
R Ashwin,INDIA,21.27,18.7,6.79,22.471,1.196,0.039,1.082,25.451,24.071,Best
Mohammad Hafeez,PAK,22.75,20.6,6.6,15.957,0.772,0.013,0.731,17.57,25.025,Best
SM Sharif,SCOT,24.09,17.8,8.11,20.896,1.173,0.038,1.06,28.269,32.562,Good
Hasan Ali,PAK,23.15,16.6,8.35,20.762,1.25,0.021,1.191,28.938,32.217,Good
Rohan Mustafa,UAE,19.63,17.3,6.79,19.985,1.154,0.019,1.098,22.654,22.215,Best
MR Adair,IRE,16.88,14.3,7.07,21.615,1.513,0.051,1.378,25.538,19.89,Best
Mohammad Amir,PAK,21.4,18.2,7.02,21.54,1.18,0.02,1.122,25.26,25.038,Best
NL McCullum,NZ,22.03,19.3,6.82,19.027,0.983,0.034,0.877,21.661,25.041,Best
KJ O'Brien,IRE,19.81,15.8,7.51,17.596,1.115,0.019,1.059,22.096,24.796,Best
