name,country,batting_pre_rank,bowling_pre_rank,batting_role,bowling_role,combined_rbml_Score,combined_pca_score,hussey_index(bat)
CH Gayle,WI,Best,Good,SB,LCB,1.729,3.736,165.42
DJ Hussey,AUS,Good,Good,FL,SPB,0.951,1.911,144.24
GJ Maxwell,AUS,Best,Good,SB,LCB,1.895,4.268,184.96
MN Samuels,WI,Best,Good,FL,SPB,1.382,2.977,145.52
Mohammad Nabi,AFG,Best,Good,FL,IB,1.004,2.352,165.2
SR Watson,AUS,Best,Good,SB,IB,1.892,4.216,174.56
ST Jayasuriya,SL,Best,Good,FL,SPB,1.172,2.861,152.44
Shahid Afridi,PAK,Good,Best,F,SB,0.992,2.208,167.92
Shakib Al Hasan,BAN,Good,Best,FL,SB,1.054,2.591,142.21
Yuvraj Singh,INDIA,Best,Best,FL,SPB,1.354,3.097,164.4
