ICC_rank,name,country,batting_pre_rank,bowling_pre_rank,batting_role,bowling_role,combined_rbml_Score,RBML_rank,combined_pca_score,PCA_rank,hussey_index(bat),hussey_rank
1,SR Watson,AUS,Best,Good,SB,IB,1.892,2,4.216,2,174.56,2
2,Shahid Afridi,PAK,Good,Best,F,SB,0.992,9,2.208,9,167.92,3
3,Shakib Al Hasan,BAN,Good,Best,FL,SB,1.054,7,2.591,7,142.21,10
4,GJ Maxwell,AUS,Best,Good,SB,LCB,1.895,1,4.268,1,184.96,1
5,Yuvraj Singh,INDIA,Best,Best,FL,SPB,1.354,5,3.097,4,164.4,6
6,ST Jayasuriya,SL,Best,Good,FL,SPB,1.172,6,2.861,6,152.44,7
7,Mohammad Nabi,AFG,Best,Good,FL,IB,1.004,8,2.352,8,165.2,5
8,DJ Hussey,AUS,Good,Good,FL,SPB,0.951,10,1.911,10,144.24,9
9,MN Samuels,WI,Best,Good,FL,SPB,1.382,4,2.977,5,145.52,8
10,CH Gayle,WI,Best,Good,SB,LCB,1.729,3,3.736,3,165.42,4
