name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
RG Sharma,INDIA,32.48,139.55,0.189,3.829,0.128,10.35,0.291,45.326,Best,SB,1.605,3.632
MJ Guptill,NZ,32.66,136.71,0.187,4.185,0.065,10.75,0.222,44.649,Best,SB,1.491,3.506
V Kohli,INDIA,51.5,137.67,0.163,4.382,0.281,17.438,0.337,70.9,Best,SB,2.494,5.252
PR Stirling,IRE,29.84,134.69,0.201,4.109,0.079,9.149,0.218,40.191,Best,SB,1.365,3.24
AJ Finch,AUS,34.69,144.87,0.204,4.337,0.112,10.91,0.225,50.255,Best,SB,1.629,3.872
Babar Azam,PAK,45.52,129.44,0.154,4.638,0.145,19.159,0.406,58.921,Best,SB,2.569,5.485
DA Warner,AUS,32.74,140.48,0.192,3.966,0.114,10.909,0.261,45.993,Best,SB,1.576,3.662
EJG Morgan,ENG,28.58,136.17,0.17,2.86,0.196,9.29,0.131,38.917,Best,FL,0.764,2.081
Shoaib Malik,PAK,31.21,125.64,0.137,2.387,0.297,11.144,0.081,39.212,Best,FL,0.715,1.551
JC Buttler,ENG,34.51,141.16,0.181,3.425,0.225,10.8,0.212,48.714,Best,SB,1.387,3.17
BB McCullum,NZ,35.66,136.21,0.185,4.143,0.143,11.4,0.243,48.572,Best,SB,1.64,3.701
KS Williamson,NZ,32.59,123.98,0.152,3.444,0.139,13.014,0.194,40.405,Best,SB,1.266,2.869
Mohammad Shahzad,AFG,30.07,133.62,0.199,4.286,0.043,9.5,0.2,40.18,Best,SB,1.357,3.27
Mahmudullah,BAN,23.83,118.25,0.128,2.019,0.215,9.495,0.056,28.179,Good,FL,0.315,0.719
KJ O'Brien,IRE,21.21,130.92,0.164,2.398,0.097,7.971,0.068,27.768,Good,FL,0.31,1.139
JP Duminy,SA,38.68,126.24,0.136,2.787,0.333,12.747,0.147,48.83,Best,SB,1.177,2.443
LRPL Taylor,NZ,26.15,122.37,0.123,2.043,0.223,10.628,0.074,32.0,Best,FL,0.453,1.032
Shakib Al Hasan,BAN,22.44,119.77,0.145,2.432,0.105,9.558,0.095,26.876,Good,FL,0.408,1.197
CH Gayle,WI,27.92,137.5,0.204,3.76,0.093,6.973,0.24,38.39,Best,SB,1.262,2.952
TM Dilshan,SL,28.19,120.54,0.163,3.241,0.152,10.114,0.19,33.98,Best,FL,0.89,2.319
KL Rahul,INDIA,40.68,142.49,0.184,4.558,0.135,14.173,0.385,57.965,Best,SB,2.31,5.047
Q de Kock,SA,33.83,135.03,0.188,4.164,0.115,11.164,0.18,45.681,Best,SB,1.42,3.358
DA Miller,SA,31.89,140.62,0.156,2.386,0.325,10.072,0.072,44.844,Best,FL,0.738,1.745
S Dhawan,INDIA,27.92,126.36,0.173,3.652,0.045,10.53,0.167,35.28,Best,FL,0.944,2.62
Tamim Iqbal,BAN,24.08,116.96,0.155,2.987,0.064,9.436,0.115,28.164,Good,FL,0.567,1.61
C Munro,NZ,31.34,156.44,0.217,3.855,0.113,8.935,0.274,49.028,Best,SB,1.569,3.802
RD Berrington,SCOT,31.96,128.13,0.153,3.015,0.209,11.612,0.134,40.95,Best,FL,0.944,2.296
Umar Akmal,PAK,26.0,122.73,0.129,2.241,0.177,11.038,0.101,31.91,Best,FL,0.536,1.333
AB de Villiers,SA,26.12,135.16,0.162,2.667,0.147,10.027,0.133,35.304,Best,FL,0.681,1.947
H Masakadza,ZIM,25.96,117.2,0.152,3.273,0.03,10.121,0.167,30.425,Best,FL,0.745,2.097
Mohammad Rizwan,PAK,50.36,128.83,0.154,4.422,0.267,17.111,0.333,64.879,Best,SB,2.421,5.001
AD Hales,ENG,31.01,136.65,0.191,3.833,0.117,10.233,0.167,42.375,Best,SB,1.23,3.003
MS Dhoni,INDIA,37.6,126.13,0.131,1.976,0.494,9.894,0.024,47.425,Best,FL,0.682,1.133
MN Samuels,WI,29.29,116.23,0.154,3.277,0.154,9.554,0.154,34.044,Best,FL,0.817,2.05
SK Raina,INDIA,29.18,134.87,0.171,3.076,0.167,10.258,0.106,39.355,Best,FL,0.823,2.184
KA Pollard,WI,25.3,135.14,0.166,2.325,0.253,7.217,0.072,34.19,Best,FL,0.422,1.199
Mohammad Nabi,AFG,22.97,142.23,0.174,2.321,0.173,7.617,0.049,32.67,Best,FL,0.362,1.237
MDKJ Perera,SL,26.53,131.31,0.166,3.305,0.017,11.136,0.203,34.837,Best,SB,1.072,2.68
F du Plessis,SA,35.53,134.38,0.167,3.8,0.14,13.36,0.24,47.745,Best,SB,1.584,3.603
LMP Simmons,WI,26.78,120.8,0.165,3.104,0.149,8.343,0.134,32.35,Best,FL,0.67,1.809
KJ Coetzer,SCOT,22.65,119.21,0.164,3.029,0.029,8.456,0.088,27.001,Good,FL,0.463,1.464
Mushfiqur Rahim,BAN,19.93,115.44,0.126,1.791,0.176,8.451,0.066,23.007,Good,FL,0.126,0.379
DPMD Jayawardene,SL,31.76,133.18,0.184,3.745,0.145,10.964,0.2,42.298,Best,SB,1.327,3.107
Ahmed Shehzad,PAK,25.8,114.74,0.148,3.22,0.034,10.932,0.153,29.603,Good,FL,0.747,2.026
SR Watson,AUS,29.24,145.32,0.197,3.536,0.107,9.0,0.214,42.492,Best,SB,1.244,3.058
JJ Roy,ENG,25.36,143.45,0.214,3.724,0.017,7.724,0.138,36.379,Best,FL,0.815,2.657
A Balbirnie,IRE,24.22,126.68,0.166,2.968,0.063,9.921,0.079,30.682,Best,FL,0.584,1.706
E Lewis,WI,30.93,155.51,0.236,4.408,0.061,6.918,0.286,48.099,Best,SB,1.662,3.998
Shahid Afridi,PAK,17.92,150.0,0.186,1.934,0.132,6.22,0.044,26.88,Good,F,0.394,0.923
Asghar Afghan,AFG,21.93,110.82,0.125,2.294,0.074,9.118,0.059,24.303,Good,FL,0.234,0.689
KC Sangakkara,SL,31.4,119.55,0.138,3.0,0.17,13.321,0.151,37.539,Best,FL,0.983,2.319
HM Amla,SA,33.6,132.05,0.178,3.909,0.136,12.205,0.182,44.369,Best,SB,1.379,3.243
HG Munsey,SCOT,27.6,146.31,0.238,4.224,0.061,6.694,0.184,40.382,Best,SB,1.243,3.212
GC Wilson,IRE,21.13,104.62,0.106,1.882,0.118,10.529,0.044,22.106,Good,FL,0.165,0.332
Najibullah Zadran,AFG,33.13,140.2,0.168,2.517,0.367,8.717,0.1,46.448,Best,FL,0.784,1.881
DJ Bravo,WI,22.01,115.03,0.117,1.73,0.23,8.554,0.054,25.318,Good,FL,0.152,0.304
Fakhar Zaman,PAK,22.37,131.61,0.179,2.881,0.051,8.254,0.119,29.441,Good,FL,0.519,1.762
BN Cooper,NED,28.15,124.77,0.157,2.836,0.2,9.8,0.164,35.123,Best,FL,0.775,2.003
DJ Malan,ENG,41.3,137.2,0.187,4.829,0.143,13.743,0.371,56.664,Best,SB,2.324,5.019
NLTC Perera,SL,23.15,151.63,0.191,2.054,0.297,6.324,0.041,35.102,Best,F,0.619,1.14
N Pooran,WI,27.74,128.97,0.168,3.1,0.14,8.7,0.16,35.776,Best,FL,0.758,2.13
