name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
Shakib Al Hasan,BAN,19.88,17.8,6.67,22.377,1.253,0.063,1.056,24.905,22.1,Best,SB,0.646,1.394
TG Southee,NZ,24.58,17.9,8.19,22.167,1.233,0.022,1.159,30.322,33.552,Good,SB,0.629,1.398
Rashid Khan,AFG,13.0,12.7,6.12,22.741,1.787,0.098,1.509,23.246,13.26,Best,SB,0.769,1.643
SL Malinga,SL,20.79,16.8,7.42,21.651,1.289,0.036,1.162,26.807,25.71,Best,SB,0.643,1.392
Shahid Afridi,PAK,24.44,22.1,6.63,22.342,1.01,0.031,0.915,24.701,27.006,Best,SB,0.598,1.285
Mustafizur Rahman,BAN,19.65,15.5,7.57,21.467,1.381,0.063,1.186,27.143,24.792,Best,SB,0.656,1.427
Saeed Ajmal,PAK,17.83,16.8,6.36,22.686,1.349,0.063,1.169,24.063,18.9,Best,SB,0.674,1.451
IS Sodhi,NZ,21.97,16.3,8.05,21.216,1.297,0.031,1.21,28.5,29.476,Best,SB,0.637,1.391
AU Rashid,ENG,22.71,18.7,7.26,21.703,1.157,0.029,1.074,26.286,27.479,Best,SB,0.62,1.338
CJ Jordan,ENG,28.12,19.4,8.65,21.041,1.081,0.027,1.0,30.405,40.54,Average,IB,0.609,1.283
DJ Bravo,WI,26.1,19.2,8.11,19.519,1.013,0.039,0.892,26.442,35.278,Good,IB,0.629,1.187
GH Dockrell,IRE,21.6,18.1,7.12,18.921,1.041,0.014,1.0,22.493,25.632,Best,SPB,0.635,1.186
Mohammad Nabi,AFG,27.92,23.1,7.25,19.712,0.854,0.034,0.744,23.843,33.737,Good,IB,0.642,1.115
S Lamichhane,NEPAL,12.76,12.0,6.34,22.538,1.872,0.051,1.757,23.897,13.483,Best,SB,0.791,1.693
A Zampa,AUS,21.22,18.7,6.79,21.787,1.164,0.016,1.1,24.705,24.014,Best,SB,0.629,1.342
JJ Bumrah,INDIA,19.89,18.3,6.5,21.911,1.196,0.0,1.196,23.804,21.548,Best,SB,0.646,1.371
KMDN Kulasekara,SL,23.18,18.6,7.45,21.217,1.138,0.034,1.036,26.379,28.782,Best,SB,0.608,1.311
BAW Mendis,SL,14.42,13.4,6.45,22.662,1.692,0.128,1.235,24.41,15.502,Best,SB,0.729,1.57
MJ Santner,NZ,22.95,18.9,7.27,20.479,1.082,0.033,0.983,24.836,27.808,Best,SB,0.592,1.257
SCJ Broad,ENG,22.93,18.0,7.62,21.305,1.182,0.018,1.13,27.109,29.121,Best,SB,0.62,1.341
B Kumar,INDIA,24.01,20.7,6.96,21.339,1.032,0.048,0.864,24.79,27.852,Best,SB,0.585,1.251
DW Steyn,SA,18.35,15.8,6.94,21.587,1.362,0.043,1.244,25.0,21.225,Best,SB,0.667,1.429
Bilal Khan,OMA,16.5,15.4,6.41,21.613,1.4,0.067,1.214,23.111,17.628,Best,SB,0.677,1.438
Imran Tahir,SA,15.04,13.4,6.73,22.184,1.658,0.105,1.324,24.947,16.87,Best,SB,0.723,1.558
