name,country,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
RG Sharma,INDIA,2007-2022,125,117,15,3313,118,32.48,2374,139.55,4,26,7,293,155
MJ Guptill,NZ,2009-2021,112,108,7,3299,105,32.66,2413,136.71,2,20,3,287,165
V Kohli,INDIA,2010-2022,97,89,25,3296,94*,51.50,2394,137.67,0,30,3,298,92
PR Stirling,IRE,2009-2022,102,101,8,2776,115*,29.84,2061,134.69,1,20,9,319,96
AJ Finch,AUS,2011-2022,89,89,10,2741,172,34.69,1892,144.87,2,16,7,273,113
Babar Azam,PAK,2016-2022,74,69,10,2686,122,45.52,2075,129.44,1,26,3,278,42
DA Warner,AUS,2009-2021,88,88,10,2554,100*,32.74,1818,140.48,1,21,6,250,99
Mohammad Hafeez,PAK,2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76
EJG Morgan,ENG,2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120
Shoaib Malik,ICC/PAK,2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69
JC Buttler,ENG,2011-2021,88,80,18,2140,101*,34.51,1516,141.16,1,15,4,184,90
BB McCullum,NZ,2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
KS Williamson,NZ,2011-2021,74,72,10,2021,95,32.59,1630,123.98,0,14,4,202,46
Mohammad Shahzad,AFG,2010-2021,70,70,3,2015,118*,30.07,1508,133.62,1,12,4,225,75
Mahmudullah,BAN,2007-2022,115,107,23,2002,64*,23.83,1693,118.25,0,6,4,155,61
GJ Maxwell,AUS,2012-2022,84,77,13,1982,145*,30.96,1287,154.00,3,9,1,164,97
KJ O'Brien,IRE,2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
JP Duminy,SA,2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71
LRPL Taylor,NZ,2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71
Shakib Al Hasan,BAN,2006-2022,96,95,10,1908,84,22.44,1593,119.77,0,9,6,193,38
CH Gayle,WI,2006-2021,79,75,7,1899,117,27.92,1381,137.50,2,14,4,158,124
TM Dilshan,SL,2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
KL Rahul,INDIA,2016-2021,56,52,7,1831,110*,40.68,1285,142.49,2,16,4,164,73
Q de Kock,SA,2012-2021,61,61,7,1827,79*,33.83,1353,135.03,0,11,3,189,65
DA Miller,SA/World,2010-2021,95,83,27,1786,101*,31.89,1270,140.62,1,4,0,119,79
S Dhawan,INDIA,2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50
Tamim Iqbal,BAN/ICC/World,2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
C Munro,NZ,2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
RD Berrington,SCOT,2008-2021,74,67,14,1694,100,31.96,1322,128.13,1,7,9,148,54
Umar Akmal,PAK,2009-2019,84,79,14,1690,94,26.00,1377,122.73,0,8,10,122,55
AB de Villiers,SA,2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
H Masakadza,ZIM,2006-2019,66,66,2,1662,93*,25.96,1418,117.20,0,11,1,151,65
Mohammad Rizwan,PAK,2015-2022,56,45,12,1662,104*,50.36,1290,128.83,1,13,3,151,48
AD Hales,ENG,2011-2019,60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55
MS Dhoni,INDIA,2006-2019,98,85,42,1617,56,37.60,1282,126.13,0,2,1,116,52
MN Samuels,WI,2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69
SK Raina,INDIA,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
KA Pollard,WI,2008-2022,101,83,21,1569,75*,25.30,1161,135.14,0,6,3,94,99
Mohammad Nabi,AFG,2010-2022,88,81,14,1539,89,22.97,1082,142.23,0,4,4,103,85
MDKJ Perera,SL,2013-2021,60,59,1,1539,84,26.53,1172,131.31,0,12,1,144,51
F du Plessis,SA/World,2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50
LMP Simmons,WI,2007-2021,68,67,10,1527,91*,26.78,1264,120.80,0,9,6,140,68
KJ Coetzer,SCOT,2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48
Mushfiqur Rahim,BAN,2006-2022,100,91,16,1495,72*,19.93,1295,115.44,0,6,8,126,37
DPMD Jayawardene,SL,2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
Ahmed Shehzad,PAK,2009-2019,59,59,2,1471,111*,25.80,1282,114.74,1,7,2,157,33
SR Watson,AUS,2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
JJ Roy,ENG,2014-2022,58,58,1,1446,78,25.36,1008,143.45,0,8,6,149,67
A Balbirnie,IRE,2015-2022,67,63,4,1429,83,24.22,1128,126.68,0,5,3,159,28
E Lewis,WI,2016-2021,50,49,3,1423,125*,30.93,915,155.51,2,10,4,106,110
Shahid Afridi,ICC/PAK,2006-2018,99,91,12,1416,54*,17.92,944,150.00,0,4,8,103,73
Asghar Afghan,AFG,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69
KC Sangakkara,SL,2006-2014,56,53,9,1382,78,31.40,1156,119.55,0,8,2,139,20
