name,country,span,matches,innings,overs,madiens,runs,wickets,best_bowling_figure,average,economy,strike_rate,4-fer,5-fer
Shakib Al Hasan,BAN,2006-2022,96,95,354.3,3,2366,119,5/20,19.88,6.67,17.8,5,1
TG Southee,NZ,2008-2021,92,90,332.5,2,2729,111,5/18,24.58,8.19,17.9,1,1
Rashid Khan,AFG/ICC,2015-2022,61,61,231.2,1,1418,109,5/3,13.00,6.12,12.7,4,2
SL Malinga,SL,2006-2020,84,83,299.5,1,2225,107,5/6,20.79,7.42,16.8,1,2
Shahid Afridi,ICC/PAK,2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
Mustafizur Rahman,BAN,2015-2022,63,63,225.4,6,1710,87,5/22,19.65,7.57,15.5,3,1
Saeed Ajmal,PAK,2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
Umar Gul,PAK,2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2
IS Sodhi,NZ,2014-2021,66,64,226.3,0,1824,83,4/28,21.97,8.05,16.3,2,0
AU Rashid,ENG,2009-2022,73,70,253.2,3,1840,81,4/2,22.71,7.26,18.7,2,0
CJ Jordan,ENG,2014-2022,75,74,259.5,2,2250,80,4/6,28.12,8.65,19.4,2,0
DJ Bravo,WI,2006-2021,91,77,250.5,0,2036,78,4/19,26.10,8.11,19.2,3,0
GH Dockrell,IRE,2010-2022,93,73,230.2,1,1642,76,4/20,21.60,7.12,18.1,1,0
Mohammad Nabi,AFG,2010-2022,91,89,292.4,5,2122,76,4/10,27.92,7.25,23.1,3,0
S Lamichhane,ICC/NEPAL,2018-2022,39,39,146.5,3,932,73,4/20,12.76,6.34,12.0,2,0
Shadab Khan,PAK,2017-2021,64,60,223.3,3,1591,73,4/14,21.79,7.11,18.3,2,0
YS Chahal,INDIA,2016-2022,57,57,220.4,1,1818,72,6/25,25.25,8.23,18.3,2,1
A Zampa,AUS,2016-2022,62,61,221.5,1,1507,71,5/19,21.22,6.79,18.7,0,1
JJ Bumrah,INDIA,2016-2022,57,56,204.5,8,1333,67,3/11,19.89,6.50,18.3,0,0
